tr_index,time,spectral_flux,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,fundamental_frequency,rms_energy_db,category,is_music,is_silence,is_speech,is_speech_music
785,1178.2501587301588,1.3293484961087552,0.6432321074546086,0.4377347507926057,-0.1330013661976905,0.41307665633295376,-0.09229327973449453,-0.24085265540759138,-0.5769490137752059,-0.9884783289304372,-0.908342539101778,-0.1974642428237313,0.015294192229523672,0.048498490762946024,-0.5093454907189316,-0.1580476298637647,-0.08355995262290744,0.6563164168350346,speech,False,False,True,False
786,1179.7478458049886,1.6458981370545809,0.8124026824921988,0.6736640962196537,-0.17651965693869426,-0.05449218472917325,-0.16190118425809194,-0.017613477229139037,-0.2776356757143828,-0.704817393690589,-1.1487784773179193,-0.22396107046166433,-0.07224445994952208,-0.14480311758551948,-0.38748457000105757,-0.3092073685554874,-0.06858552659654273,0.6695916410741193,speech,False,False,True,False
787,1181.2455328798185,1.5737201733663155,0.9356735595703405,1.0048179339635872,-0.056217143478403384,-0.38855895907239074,-0.015369166470697233,0.39201546388602854,0.0750002420832722,-0.3145775446288267,-0.807959891129738,-0.3079977158671835,0.07324814988308609,0.14826306053300725,-0.2404942269788805,-0.5563683347680028,-0.10472379825926133,0.6722850249290376,speech,False,False,True,False
788,1182.7548299319728,1.3331706398124235,1.143068215116181,1.2798367592164777,-0.02020993298247818,-0.21635714245637844,0.3459368452130699,0.6304755444377347,0.24746829973587642,0.005056434423302683,0.044172229698272246,-0.30539993087749007,0.3672133516329332,0.6131574052350313,-0.29285585653586516,-0.7525329302362567,-0.17882020404955293,0.6211716975254938,speech,False,False,True,False
789,1184.2525170068027,0.8752281310621044,1.10807891447199,1.228813098620768,-0.09194332833934069,-0.029768594408098325,0.6277600562227967,0.542342257879564,0.21361198694875214,0.13274052402728048,0.5713861797794424,-0.12122267368604701,0.6771341408597735,0.7754997192830272,-0.4041573578209104,-0.7781072103977945,-0.26822644639420795,0.410069386864798,speech,False,False,True,False
790,1185.7502040816325,0.30644373637118294,0.5022825402574702,0.6647684541458246,-0.051167619852285365,-0.04792996584384222,0.774056741936891,0.49339266355530137,0.16022341437440274,0.048740161418966116,0.3965035880362725,0.21086941694757605,1.029743766275405,0.5910289879589167,-0.35886263854008515,-0.5211936670911737,-0.34856830977138853,-0.03792932689760447,speech,False,False,True,False
791,1187.2478911564626,-0.5584100571064669,-0.6546687793072582,-0.4772427813781684,0.13505765371491207,0.08251998448100632,0.902526037371783,0.7304897652831646,0.4815186951892997,0.1580061112272126,0.044994403865777924,0.5578855776331547,1.330173087705882,0.4469996390616979,0.12584903011539747,0.3207902381208226,-0.45001262677754394,-0.8994592209335482,speech,False,False,True,False
792,1188.7455782312925,-1.2702293535208455,-1.6143920310944018,-1.5355605261767247,0.2696040216527049,0.34850789410782534,0.9302225984017093,1.0416591455372195,0.9086346768458531,0.4114151555770003,-0.1452118596853756,0.7893048513096793,1.5210390747666194,0.42722952998935504,0.6750925014483564,1.3031135309588593,-0.44039837460654585,-1.621272374177086,speech,False,False,True,False
793,1190.2548752834468,-1.0002297193846776,-1.4250240877048745,-1.5762440189103628,0.14239547405753428,0.6247376577406661,0.685993520881025,1.0261070229988505,0.8569487587888103,0.20947660992773864,-0.1868204753224063,0.591214735510592,1.3516839203599529,0.25053285160145494,0.4850114307161273,1.4356143845507863,-0.2860276479243704,-1.3788388362668345,silence,False,True,False,False
794,1191.7525623582767,-0.2402855126297925,-0.5424808735054928,-0.957801922292404,-0.16034166237727548,0.770813273571645,0.38264747328177534,0.7413439319807873,0.4024661413349419,-0.0884744729787162,0.10060164038738438,0.2707230011951214,0.9241462786038624,-0.047626518930829476,-0.1768125781238048,0.9815075152842996,-0.20919572362381758,-0.7047546143741789,speech,False,False,True,False
